methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1,Max AUC,Min AUC,AUC Gap
baseline,5.0,4.0,8.0,8.0,3.5,8.0,4.0,9.0,2.0,4.0,3.0,2.0,4.0,3.0,3.0,4.5,3.0,7.0,5.0,1.0,3.0,3.0,2.0,3.5,6.0,4.5,2.0,5.0,3.0,4.0,5.0,4.0,7.5,4.5,3.5,3.0,5.0,8.0,3.0
resampling,2.0,2.0,2.0,2.0,5.5,3.5,8.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,7.0,7.0,5.5,7.0,5.0,10.0,2.0,1.0,10.0
DomainInd,7.0,6.0,3.0,6.0,8.5,3.5,2.0,5.5,9.0,8.0,,,,,,,,,,,,,,,,,,,,,9.0,2.0,11.0,7.0,1.5,10.0,7.0,2.0,11.0
LAFTR,8.0,8.0,5.0,9.0,5.5,9.0,3.0,11.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,3.0,5.5,4.0,3.0,6.5,5.5,9.0,5.0,9.0
CFair,1.0,1.0,4.0,1.0,1.0,2.0,9.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,10.0,9.0,10.0,10.0,9.0,7.5,1.0,3.0,5.0
LNL,4.0,9.0,1.0,4.0,7.0,5.0,11.0,7.0,5.0,5.0,7.0,5.0,2.0,2.0,4.0,6.0,4.0,5.0,4.0,3.0,4.0,2.0,1.0,3.5,7.0,4.5,1.0,4.0,5.0,1.0,6.0,5.5,3.0,9.0,6.5,5.5,4.0,4.0,8.0
EnD,10.0,10.0,11.0,10.0,8.5,10.0,6.0,2.0,11.0,10.0,2.0,6.0,7.0,4.0,2.0,4.5,2.0,5.0,6.0,3.0,2.0,4.0,5.0,1.0,5.0,7.0,3.0,2.0,2.0,6.0,2.0,9.0,2.0,2.0,11.0,3.0,10.0,10.0,2.0
ODR,3.0,3.0,6.0,4.0,2.0,6.0,5.0,8.0,7.0,6.0,5.0,3.0,3.0,5.0,5.0,1.0,6.0,5.0,2.0,3.0,5.0,5.0,6.0,7.0,4.0,1.0,4.0,3.0,4.0,2.0,4.0,9.0,5.5,4.5,8.0,10.0,3.0,6.0,4.0
GroupDRO,9.0,5.0,9.0,7.0,3.5,7.0,10.0,5.5,10.0,11.0,6.0,4.0,5.0,,,2.0,7.0,2.0,1.0,6.0,,,4.0,5.5,1.0,2.5,7.0,,,5.0,8.0,3.0,7.5,7.0,3.5,1.0,6.0,9.0,1.0
SWAD,6.0,7.0,7.0,4.0,10.0,1.0,7.0,1.0,6.0,3.0,4.0,1.0,6.0,,,3.0,5.0,3.0,3.0,5.0,,,3.0,5.5,3.0,2.5,5.0,,,3.0,11.0,1.0,9.0,11.0,1.5,3.0,8.0,7.0,7.0
SAM,11.0,11.0,10.0,11.0,11.0,11.0,1.0,10.0,4.0,7.0,1.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,2.0,2.0,6.0,6.0,1.0,1.0,7.0,1.0,11.0,1.0,1.0,10.0,7.5,11.0,11.0,6.0
