methods,Test Overall AUC,Test Overall Acc,Test acc-group_0,Test auc-group_0,Test acc-group_1,Test auc-group_1,Test acc-group_2,Test auc-group_2,Test acc-group_3,Test auc-group_3,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test tpr_at_tnr_2,Test fnr_at_thres-group_2,Test fpr_at_thres-group_2,Test recall_at_thres-group_2,Test specificity_at_thres-group_2,Test ECE-group_2,Test BCE-group_2,Test tpr_at_tnr_3,Test fnr_at_thres-group_3,Test fpr_at_thres-group_3,Test recall_at_thres-group_3,Test specificity_at_thres-group_3,Test ECE-group_3,Test BCE-group_3,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FPR-group_2,Test FPR-group_3,Test FNR-group_0,Test FNR-group_1,Test FNR-group_2,Test FNR-group_3,hash,Max AUC,Min AUC,AUC Gap
baseline,0.9±0.01,0.8871±0.007,0.9358±0.009,0.7753±0.072,0.9206±0.005,0.9225±0.002,0.8333±0.025,0.8676±0.018,0.7991±0.016,0.8502±0.003,0.0376±0.009,0.2694±0.013,0.766±0.105,0.5833±0.072,0.0305±0.008,0.4167±0.072,0.9695±0.008,0.0417±0.014,0.1665±0.018,0.9155±0.02,0.5504±0.067,0.0268±0.001,0.4496±0.067,0.9732±0.001,0.0297±0.002,0.1945±0.011,0.7386±0.049,0.5054±0.081,0.058±0.041,0.4946±0.081,0.942±0.041,0.0892±0.012,0.3964±0.04,0.7522±0.022,0.3704±0.032,0.1212±0.038,0.6296±0.032,0.8788±0.038,0.1045±0.024,0.427±0.033,0.8337±0.031,0.0757±0.009,0.3461±0.034,0.0436±0.01,0.0537±0.008,0.1073±0.032,0.1879±0.042,0.7583±0.072,0.3601±0.048,0.3871±0.048,0.2408±0.064,e1b2296d43,0.9225,0.7753,0.1472
resampling,0.901±0.015,0.8861±0.019,0.9317±0.028,0.8576±0.025,0.919±0.009,0.9241±0.028,0.8436±0.03,0.8778±0.007,0.7626±0.021,0.8273±0.01,0.0574±0.004,0.3253±0.011,0.657±0.138,0.625±0.125,0.0392±0.02,0.375±0.125,0.9608±0.02,0.0473±0.012,0.1914±0.032,0.9047±0.029,0.4031±0.036,0.0442±0.007,0.5969±0.036,0.9558±0.007,0.0351±0.001,0.2208±0.006,0.7809±0.012,0.3871±0.058,0.0971±0.016,0.6129±0.058,0.9029±0.016,0.0922±0.004,0.4722±0.019,0.691±0.011,0.2593±0.116,0.2121±0.046,0.7407±0.116,0.7879±0.046,0.1759±0.053,0.646±0.13,0.8273±0.01,0.077±0.037,0.3461±0.095,0.0436±0.033,0.0502±0.022,0.1073±0.062,0.2303±0.064,0.5417±0.072,0.3566±0.128,0.3387±0.098,0.2593±0.116,d606092b09,0.9241,0.8273,0.0968
DomainInd,0.8903±0.005,0.8871±0.019,0.9234±0.031,0.7823±0.053,0.9182±0.005,0.9218±0.008,0.8482±0.022,0.8735±0.007,0.7808±0.071,0.8354±0.016,0.1159±0.015,1.1636±0.4,0.637±0.075,0.75±0.125,0.0588±0.0,0.25±0.125,0.9412±0.0,0.0934±0.012,0.6476±0.287,0.9037±0.064,0.4264±0.013,0.0545±0.004,0.5736±0.013,0.9455±0.004,0.0795±0.005,0.6557±0.233,0.7687±0.013,0.3011±0.057,0.1449±0.039,0.6989±0.057,0.8551±0.039,0.1573±0.022,1.7607±0.777,0.7769±0.05,0.1667±0.096,0.3273±0.114,0.8333±0.096,0.6727±0.114,0.278±0.051,2.8909±1.582,0.7784±0.048,0.0676±0.036,0.3969±0.094,0.0436±0.047,0.0312±0.025,0.1058±0.039,0.2303±0.084,0.7083±0.289,0.5349±0.185,0.3226±0.043,0.1852±0.032,7c0354c31b,0.9218,0.7823,0.13949999999999996
LAFTR,0.8841±0.014,0.8774±0.009,0.9255±0.012,0.9115±0.029,0.9011±0.01,0.9108±0.016,0.8402±0.013,0.855±0.016,0.7808±0.047,0.8145±0.076,0.065±0.004,0.3296±0.024,0.8109±0.034,0.4583±0.191,0.0327±0.017,0.5417±0.191,0.9673±0.017,0.0435±0.013,0.1629±0.037,0.8706±0.032,0.4651±0.101,0.0468±0.021,0.5349±0.101,0.9532±0.021,0.0556±0.005,0.2574±0.011,0.764±0.035,0.4946±0.11,0.0638±0.047,0.5054±0.11,0.9362±0.047,0.0937±0.008,0.4649±0.032,0.7407±0.116,0.537±0.231,0.1152±0.082,0.463±0.231,0.8848±0.082,0.161±0.032,0.5793±0.189,0.8109±0.073,0.0834±0.027,0.369±0.102,0.0632±0.01,0.0684±0.02,0.1±0.043,0.1758±0.09,0.2917±0.191,0.3721±0.101,0.3817±0.105,0.3519±0.225,c1977c91c5,0.9115,0.8145,0.09699999999999998
CFair,0.8792±0.005,0.8711±0.013,0.8965±0.025,0.7958±0.016,0.9042±0.016,0.9172±0.007,0.8299±0.002,0.8475±0.012,0.7854±0.029,0.8131±0.036,0.0497±0.026,0.2915±0.034,0.5743±0.101,0.9167±0.072,0.0087±0.01,0.0833±0.072,0.9913±0.01,0.0396±0.005,0.1804±0.009,0.8948±0.027,0.7519±0.075,0.0121±0.008,0.2481±0.075,0.9879±0.008,0.0452±0.017,0.2179±0.025,0.6935±0.028,0.7204±0.107,0.0101±0.005,0.2796±0.107,0.9899±0.005,0.0926±0.031,0.4162±0.062,0.7222±0.056,0.7222±0.111,0.0061±0.01,0.2778±0.111,0.9939±0.01,0.1197±0.038,0.4688±0.067,0.7931±0.019,0.0822±0.025,0.4224±0.065,0.0741±0.029,0.0589±0.025,0.1014±0.018,0.1879±0.052,0.6667±0.072,0.4264±0.059,0.4248±0.057,0.2963±0.116,787565b8c8,0.9172,0.7958,0.12140000000000006
LNL,0.8903±0.014,0.8798±0.024,0.9172±0.025,0.826±0.013,0.9128±0.02,0.9228±0.023,0.8299±0.021,0.8563±0.008,0.8037±0.062,0.838±0.028,0.0513±0.018,0.29±0.007,0.6668±0.03,0.5417±0.072,0.0632±0.029,0.4583±0.072,0.9368±0.029,0.0812±0.024,0.2401±0.043,0.8962±0.052,0.5116±0.222,0.0459±0.016,0.4884±0.222,0.9541±0.016,0.0465±0.008,0.2146±0.021,0.7301±0.031,0.4731±0.194,0.0928±0.071,0.5269±0.194,0.9072±0.071,0.0642±0.031,0.3926±0.031,0.669±0.194,0.4259±0.21,0.1576±0.038,0.5741±0.21,0.8424±0.038,0.132±0.013,0.4316±0.021,0.8202±0.018,0.0786±0.035,0.3817±0.043,0.061±0.031,0.052±0.026,0.113±0.039,0.1697±0.11,0.5±0.125,0.4031±0.027,0.3817±0.052,0.2778±0.096,e52346dcbd,0.9228,0.826,0.0968
EnD,0.8692±0.011,0.8672±0.012,0.8675±0.019,0.7121±0.057,0.9081±0.005,0.9317±0.003,0.8368±0.01,0.8302±0.011,0.7489±0.048,0.7943±0.087,0.2623±0.006,0.5065±0.015,0.4679±0.075,0.7917±0.144,0.0545±0.049,0.2083±0.144,0.9455±0.049,0.3199±0.016,0.4831±0.026,0.9251±0.027,0.5194±0.171,0.039±0.028,0.4806±0.171,0.961±0.028,0.2892±0.012,0.485±0.012,0.7092±0.014,0.5376±0.171,0.0696±0.049,0.4624±0.171,0.9304±0.049,0.2264±0.008,0.5365±0.01,0.5952±0.327,0.5741±0.225,0.1091±0.142,0.4259±0.225,0.8909±0.142,0.255±0.002,0.5637±0.033,0.691±0.041,0.0992±0.014,0.3435±0.008,0.1089±0.021,0.064±0.007,0.1145±0.014,0.2545±0.055,0.5833±0.072,0.3411±0.036,0.3441±0.009,0.2407±0.032,542d9adf36,0.9317,0.7121,0.21960000000000002
ODR,0.8883±0.011,0.8823±0.018,0.9193±0.035,0.8859±0.009,0.905±0.018,0.9047±0.005,0.8562±0.024,0.8792±0.02,0.7717±0.034,0.8158±0.076,0.0557±0.017,0.3121±0.055,0.7811±0.065,0.625±0.433,0.0196±0.011,0.375±0.433,0.9804±0.011,0.0431±0.018,0.1421±0.014,0.8929±0.021,0.6357±0.071,0.0294±0.024,0.3643±0.071,0.9706±0.024,0.0544±0.024,0.2578±0.067,0.7891±0.029,0.5968±0.154,0.0304±0.02,0.4032±0.154,0.9696±0.02,0.0911±0.017,0.4175±0.024,0.7296±0.084,0.537±0.128,0.0667±0.084,0.463±0.128,0.9333±0.084,0.1436±0.052,0.5844±0.295,0.8132±0.073,0.0818±0.03,0.3435±0.058,0.0697±0.031,0.0606±0.023,0.0928±0.049,0.2182±0.048,0.2917±0.144,0.4031±0.036,0.3334±0.081,0.2593±0.085,164e1df088,0.9047,0.8158,0.08889999999999998
GroupDRO,0.9052±0.003,0.885±0.027,0.9213±0.04,0.8647±0.037,0.9128±0.016,0.9359±0.004,0.847±0.025,0.8774±0.006,0.7945±0.071,0.837±0.029,0.0756±0.016,0.4509±0.128,0.7086±0.116,0.4167±0.191,0.061±0.032,0.5833±0.191,0.939±0.032,0.072±0.015,0.2519±0.082,0.9476±0.023,0.3643±0.097,0.0632±0.015,0.6357±0.097,0.9368±0.015,0.055±0.011,0.2545±0.033,0.7695±0.019,0.3226±0.043,0.1275±0.033,0.6774±0.043,0.8725±0.033,0.1082±0.018,0.7602±0.286,0.7628±0.055,0.2222±0.0,0.2182±0.048,0.7778±0.0,0.7818±0.048,0.2037±0.043,0.8034±0.21,0.8227±0.015,0.0786±0.048,0.3435±0.107,0.0566±0.047,0.052±0.031,0.1116±0.062,0.1879±0.107,0.5±0.125,0.4031±0.128,0.3064±0.113,0.2592±0.064,0375cade1b,0.9359,0.837,0.09889999999999999
SWAD,0.9094±0.001,0.8882±0.003,0.9337±0.007,0.8649±0.032,0.9081±0.004,0.9329±0.006,0.8562±0.007,0.8851±0.003,0.7991±0.034,0.8387±0.038,0.0469±0.018,0.2693±0.022,0.6967±0.086,0.6667±0.072,0.024±0.01,0.3333±0.072,0.976±0.01,0.0358±0.015,0.1575±0.014,0.9317±0.03,0.5194±0.048,0.0424±0.007,0.4806±0.048,0.9576±0.007,0.0435±0.01,0.2132±0.014,0.7781±0.025,0.3978±0.065,0.0739±0.017,0.6022±0.065,0.9261±0.017,0.0711±0.028,0.3629±0.03,0.7185±0.103,0.3148±0.032,0.1333±0.042,0.6852±0.032,0.8667±0.042,0.1336±0.039,0.4707±0.097,0.8316±0.033,0.0709±0.008,0.369±0.029,0.0414±0.01,0.052±0.007,0.0971±0.009,0.1758±0.058,0.5417±0.072,0.4496±0.036,0.3172±0.041,0.2778±0.056,382c4015eb,0.9329,0.8387,0.09419999999999995
